Sample	Method	NoiseLevel	Average_AE	Total_AE
TSP25_random_rep4_seed12_10_200.h5ad	QP	100	2.3031696249999998	184.25357
TSP25_random_rep5_seed12_10_200.h5ad	QP	100	1.6343388749999996	130.74710999999996
TSP25_random_rep1_seed3_40_800.h5ad	QP	100	2.2409107500000003	179.27286
TSP25_random_rep2_seed3_40_800.h5ad	QP	100	1.7595563749999996	140.76450999999997
TSP25_random_rep3_seed3_40_800.h5ad	QP	100	1.01075225	80.86018
TSP25_random_rep4_seed3_40_800.h5ad	QP	100	2.0499765	163.99812
TSP25_random_rep5_seed3_40_800.h5ad	QP	100	1.263419625	101.07357
TSP27_random_rep1_seed3_20_400.h5ad	QP	100	1.9468302500000008	155.74642000000006
TSP27_random_rep2_seed3_20_400.h5ad	QP	100	1.5535318749999998	124.28254999999999
TSP27_random_rep3_seed3_20_400.h5ad	QP	100	2.2512440000000002	180.09952
TSP27_random_rep4_seed3_20_400.h5ad	QP	100	1.7661216249999996	141.28972999999996
TSP27_random_rep5_seed3_20_400.h5ad	QP	100	1.045813625	83.66509
TSP27_random_rep1_seed4_20_400.h5ad	QP	100	1.911881375	152.95051
TSP27_random_rep2_seed4_20_400.h5ad	QP	100	2.01951675	161.56134
TSP27_random_rep3_seed4_20_400.h5ad	QP	100	1.7333790000000004	138.67032000000003
TSP27_random_rep4_seed4_20_400.h5ad	QP	100	1.857843625000001	148.62749000000008
TSP27_random_rep5_seed4_20_400.h5ad	QP	100	2.0211211249999996	161.68968999999998
TSP25_random_rep1_seed10_20_400.h5ad	QP	100	1.4812825000000003	118.50260000000002
TSP25_random_rep2_seed10_20_400.h5ad	QP	100	1.1278502499999998	90.22801999999999
TSP25_random_rep3_seed10_20_400.h5ad	QP	100	1.4319403750000002	114.55523000000001
TSP25_random_rep4_seed10_20_400.h5ad	QP	100	1.8464706250000003	147.71765000000002
TSP25_random_rep5_seed10_20_400.h5ad	QP	100	1.91327375	153.0619
TSP25_random_rep1_seed9_20_400.h5ad	QP	100	1.58967275	127.17382
TSP25_random_rep2_seed9_20_400.h5ad	QP	100	1.5707656250000002	125.66125000000001
TSP25_random_rep3_seed9_20_400.h5ad	QP	100	1.216554125	97.32433
TSP25_random_rep4_seed9_20_400.h5ad	QP	100	1.8102873750000004	144.82299000000003
TSP25_random_rep5_seed9_20_400.h5ad	QP	100	1.4654316249999997	117.23452999999998
TSP27_random_rep1_seed8_20_400.h5ad	QP	100	1.3720327499999996	109.76261999999997
TSP27_random_rep2_seed8_20_400.h5ad	QP	100	1.9318600000000004	154.54880000000003
TSP27_random_rep3_seed8_20_400.h5ad	QP	100	1.9676568750000007	157.41255000000007
TSP27_random_rep4_seed8_20_400.h5ad	QP	100	0.9564728749999999	76.51782999999999
TSP27_random_rep5_seed8_20_400.h5ad	QP	100	1.8973585	151.78868
TSP21_random_rep1_seed4_10_200.h5ad	QP	100	1.7009471250000001	136.07577
TSP21_random_rep2_seed4_10_200.h5ad	QP	100	1.86382175	149.10574
TSP21_random_rep3_seed4_10_200.h5ad	QP	100	1.5101574999999996	120.81259999999997
TSP21_random_rep4_seed4_10_200.h5ad	QP	100	2.499999875	199.99999
TSP21_random_rep5_seed4_10_200.h5ad	QP	100	1.0436187499999998	83.48949999999999
TSP27_random_rep1_seed12_20_400.h5ad	QP	100	1.7762327500000008	142.09862000000007
TSP27_random_rep2_seed12_20_400.h5ad	QP	100	1.1621113749999998	92.96891
TSP27_random_rep3_seed12_20_400.h5ad	QP	100	1.561807875	124.94463
TSP27_random_rep4_seed12_20_400.h5ad	QP	100	1.47360025	117.88802000000001
TSP27_random_rep5_seed12_20_400.h5ad	QP	100	1.4618445	116.94756
TSP21_random_rep1_seed10_40_800.h5ad	QP	100	1.4400676250000002	115.20541000000001
TSP21_random_rep2_seed10_40_800.h5ad	QP	100	1.6547940000000003	132.38352000000003
TSP21_random_rep3_seed10_40_800.h5ad	QP	100	2.0244838750000005	161.95871000000002
TSP21_random_rep4_seed10_40_800.h5ad	QP	100	1.54047425	123.23794
TSP21_random_rep5_seed10_40_800.h5ad	QP	100	2.386372625	190.90981
TSP27_random_rep1_seed6_10_200.h5ad	QP	100	1.9996377500000004	159.97102000000004
TSP27_random_rep2_seed6_10_200.h5ad	QP	100	2.1165408750000005	169.32327000000004
TSP27_random_rep3_seed6_10_200.h5ad	QP	100	1.1116240000000002	88.92992000000001
TSP27_random_rep4_seed6_10_200.h5ad	QP	100	1.4664381249999994	117.31504999999994
TSP27_random_rep5_seed6_10_200.h5ad	QP	100	1.965820999999999	157.26567999999992
TSP21_random_rep1_seed6_20_400.h5ad	QP	100	1.9320945000000003	154.56756000000001
TSP21_random_rep2_seed6_20_400.h5ad	QP	100	2.033940125	162.71521
TSP21_random_rep3_seed6_20_400.h5ad	QP	100	2.3217466249999994	185.73972999999995
TSP21_random_rep4_seed6_20_400.h5ad	QP	100	1.0730853750000002	85.84683000000001
TSP21_random_rep5_seed6_20_400.h5ad	QP	100	1.2470236250000002	99.76189000000001
TSP25_random_rep1_seed3_20_400.h5ad	QP	100	1.580175	126.414
TSP25_random_rep2_seed3_20_400.h5ad	QP	100	1.6677534999999999	133.42028
TSP25_random_rep3_seed3_20_400.h5ad	QP	100	2.19645025	175.71602
TSP25_random_rep4_seed3_20_400.h5ad	QP	100	2.1026662500000004	168.21330000000003
TSP25_random_rep5_seed3_20_400.h5ad	QP	100	1.3408023750000002	107.26419000000001
TSP25_random_rep1_seed8_40_800.h5ad	QP	100	1.758561375	140.68491
