Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	NoiseLevel	Sample
5e-05	0.00196	3.65049	0.00445	7.411869999999999	0.00985	0.00312	5.34606	2.56475	3.58573	0.01452	48.55776	4.984159999999999	10.12753	2.89094	0.00188	15.17722	0.00209	3.44999	0.18337	0.20819	0.49049	0.00195	0.00478	0.0032	6.6917	17.23062	0.00103	4.735705357142856	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_639720_4
4e-05	0.00196	3.70793	0.00358	17.26036	0.00648	0.00648	3.622500000000001	0.69755	2.61722	0.03535	5.7353	9.23808	8.78479	1.76104	0.00285	11.05808	0.0003	5.17569	4.88922	0.11206	0.36073	0.00234	0.25445	0.00148	4.49299	1.58466	0.07748	2.9103925000000004	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_398887_5
6e-05	0.00202	4.37732	0.00248	3.2063999999999995	0.00809	0.00333	3.768	3.08064	4.37315	0.02347	53.78869	5.857570000000001	11.19793	2.69098	0.00233	14.58737	0.00116	1.86228	1.41186	0.3474	0.38373	0.00242	0.00205	0.00354	6.09849	18.9809	0.00145	4.859468214285714	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_884794_5
4e-05	0.00282	3.63426	0.01936	21.55035	0.00474	0.00521	5.67014	0.67057	1.29763	0.00357	5.5299	3.99755	6.19071	1.90921	0.00109	12.78834	0.00031	6.99828	4.693389999999999	0.12694	0.60355	0.00126	0.00529	0.00089	5.59435	1.57694	0.00601	2.9600964285714286	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_281746_5
0.0001	0.00165	3.51876	0.00518	12.6475	0.009	0.00423	5.57555	0.51609	4.25524	0.08437	0.04266	15.51445	10.1978	1.69546	0.00873	8.73557	0.00027	2.84116	4.25436	0.11011	0.4384	0.00125	1.76785	0.00109	3.12078	0.47765	0.15857	2.713708214285714	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_688277_4
7e-05	0.00172	2.79125	0.00396	4.62238	0.01709	0.00404	10.845399999999998	1.1056	6.01192	0.11895	13.29075	17.758700000000005	13.28132	2.94792	0.01004	8.82431	0.00037	0.99483	0.10936	0.31845	0.86045	0.00268	1.88736	0.00153	2.84498	4.23267	0.14644	3.322662142857143	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_278746_4
3e-05	0.00144	5.05705	0.00252	2.33877	0.00704	0.00364	3.1592100000000003	2.88842	4.7893	0.03932	42.53791	8.018419999999999	12.3878	2.05259	0.0031	12.94725	0.00073	1.22554	5.021179999999999	0.5012	0.4011	0.00261	0.00616	0.00217	4.91136	13.83782	0.00733	4.362536071428571	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_942435_5
3e-05	0.00196	5.10809	0.04826	20.073899999999995	0.0041	0.00751	3.43535	1.5661	1.27577	0.00312	5.20664	2.83067	6.34041	1.32313	0.0016	13.03794	0.00031	6.28356	10.948589999999998	0.20811	0.59491	0.00198	0.00214	0.00103	5.29419	1.38547	0.00547	3.0353692857142853	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_96325_5
2e-05	0.0033	4.74083	0.00849	11.23284	0.00584	0.00418	3.1179400000000004	2.51636	2.29527	0.00154	42.57554	1.7426	8.0206	1.98154	0.00134	16.15217	0.00047	5.06598	4.033010000000001	0.23665	0.43818	0.00144	0.0014	0.01691	6.982	14.22671	0.00074	4.478710357142856	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_626380_5
9e-05	0.00144	4.03757	0.00179	2.8147800000000007	0.12488	0.00405	0.08023	0.57341	6.42098	0.13949	18.20283	19.471850000000003	13.18492	0.73167	0.01491	7.60043	0.00051	0.77272	3.6064700000000007	0.1816	0.012	0.00254	2.99751	0.00233	2.35683	4.6706	0.18352	3.149712500000001	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_714328_4
