	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13990781	0.0	0.0	2.11	1.91	5.29	0.0	0.81	0.0	8.54	0.0	0.29	0.0	1.39	0.0	0.36	4.67	0.46	0.0	0.51	4.34	0.0	0.0	0.0	0.5	0.0	0.39	0.04	0.93	0.0	67.46	NNLS
SRR13990875	0.0	0.99	0.0	0.0	31.82	0.0	0.0	0.0	0.16	0.0	0.27	0.0	0.48	1.75	33.48	0.34	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.15	1.8	0.0	28.7	NNLS
SRR13990698	0.0	0.38	0.83	0.0	14.62	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.33	5.75	0.23	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.18	0.0	0.0	0.02	1.52	0.0	75.66	NNLS
SRR13991061	0.0	0.92	0.0	0.0	39.74	0.0	0.0	0.0	1.02	0.0	2.07	0.0	0.0	1.39	25.9	2.35	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.09	0.0	0.0	0.15	1.82	0.0	24.49	NNLS
SRR13991107	0.0	0.0	2.9	0.0	0.0	0.0	0.15	0.0	1.63	0.34	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.47	2.04	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	90.74	NNLS
SRR13990791	0.0	0.93	2.27	1.58	11.14	0.0	0.0	0.0	8.44	0.0	1.32	0.0	1.35	0.0	11.07	1.35	0.0	0.0	0.19	2.26	0.0	0.0	0.27	0.21	0.0	0.0	0.08	1.79	0.0	55.76	NNLS
SRR13990792	0.0	0.86	1.99	1.03	12.24	0.0	0.0	0.0	6.56	0.0	1.17	0.0	0.9	0.0	12.09	0.97	0.0	0.0	0.41	1.63	0.0	0.0	0.7	0.21	0.0	0.0	0.08	1.72	0.0	57.44	NNLS
SRR13990946	0.0	0.67	1.83	0.0	14.14	0.0	0.0	0.0	3.44	0.49	0.81	0.0	3.08	0.47	10.48	2.25	0.0	0.0	0.32	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.64	0.0	60.11	NNLS
SRR13990840	0.0	0.03	2.34	0.34	12.87	0.0	0.32	0.0	2.79	0.0	0.32	0.0	0.52	0.03	3.57	2.49	0.0	0.0	0.4	1.51	0.0	0.0	0.37	0.3	0.0	0.0	0.03	0.92	0.0	70.84	NNLS
SRR13991110	0.0	0.25	2.96	1.04	7.7	0.0	0.0	0.0	5.12	0.13	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.28	3.39	0.0	0.0	0.0	0.37	0.0	0.0	0.0	1.09	0.0	75.99	NNLS
SRR13991060	0.0	1.15	0.01	0.0	34.07	0.0	0.0	0.0	1.55	0.0	2.63	0.0	0.0	1.29	24.77	2.61	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.07	0.0	0.0	0.14	2.08	0.0	29.59	NNLS
SRR13990846	0.0	1.58	2.96	0.0	19.97	0.42	0.0	0.0	4.47	0.0	1.99	0.0	0.34	0.59	14.48	3.41	0.0	0.0	0.0	1.67	0.01	0.0	0.15	0.3	0.0	0.0	0.12	2.99	0.0	44.55	NNLS
SRR13991045	0.0	0.0	2.18	0.0	0.07	0.0	0.02	0.0	1.89	0.68	0.0	0.0	1.48	0.0	0.0	2.71	0.0	0.0	0.46	1.82	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.52	0.0	88.14	NNLS
SRR13991108	0.0	0.06	2.13	0.0	1.72	0.0	0.2	0.0	1.03	0.64	0.0	0.0	0.16	0.0	0.0	1.1	0.0	0.0	0.63	1.76	0.0	0.0	0.07	0.76	0.0	0.0	0.0	1.01	0.0	88.75	NNLS
SRR13990837	0.0	0.0	4.17	0.0	0.0	0.0	0.75	0.0	3.07	0.0	0.0	0.0	0.69	0.0	0.0	2.33	0.0	0.0	0.56	4.05	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	84.2	NNLS
SRR13991109	0.0	1.15	2.48	0.0	11.5	0.0	0.0	0.0	4.36	0.14	1.93	0.0	0.0	0.25	10.94	1.23	0.0	0.0	0.04	1.38	0.0	0.0	0.47	0.33	0.0	0.0	0.08	2.01	0.0	61.71	NNLS
SRR13990823	0.0	0.15	0.66	0.0	6.64	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.5	5.08	4.46	0.0	0.0	0.21	0.62	0.02	0.0	0.0	0.17	0.0	0.0	0.03	1.03	0.0	80.05	NNLS
SRR13990951	0.0	0.78	1.77	0.0	12.1	0.0	0.0	0.0	0.44	0.0	1.83	0.0	0.0	0.65	12.25	5.22	0.0	0.0	0.14	0.21	0.0	0.0	0.0	0.35	0.0	0.0	0.08	1.7	0.0	62.47	NNLS
SRR13990822	0.0	0.03	1.21	0.0	5.76	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.14	0.54	4.93	0.0	0.0	0.44	0.88	0.02	0.0	0.0	0.12	0.0	0.0	0.01	0.88	0.0	84.79	NNLS
SRR13990853	0.0	1.21	0.64	0.0	20.9	0.0	0.0	0.0	2.29	0.0	1.74	0.0	0.95	1.05	21.07	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.25	0.0	0.3	0.12	2.23	0.0	46.95	NNLS
SRR13990847	0.0	1.48	1.44	0.0	19.21	0.0	0.0	0.0	2.57	0.0	2.1	0.0	0.26	1.06	20.08	3.43	0.0	0.0	0.0	0.84	0.03	0.0	0.0	0.23	0.0	0.0	0.15	2.75	0.0	44.39	NNLS
SRR13990703	0.0	1.24	3.71	2.18	16.23	0.0	0.0	0.0	1.54	0.0	0.2	0.0	0.0	0.0	2.14	1.64	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.31	0.0	0.0	0.05	2.87	0.01	66.02	NNLS
SRR13991072	0.0	0.04	0.8	0.0	17.94	0.0	0.08	0.0	0.61	0.14	1.13	0.0	0.0	0.42	9.12	2.02	0.0	0.0	0.15	0.15	0.01	0.0	0.0	0.27	0.0	0.0	0.09	0.67	0.0	66.36	NNLS
SRR13991071	0.0	0.15	0.96	0.0	11.77	0.0	0.0	0.0	0.82	0.2	0.57	0.0	0.0	0.36	6.15	2.3	0.0	0.0	0.23	0.72	0.0	0.0	0.08	0.2	0.0	0.0	0.05	0.75	0.0	74.68	NNLS
SRR13990618	0.0	0.2	0.27	0.13	10.89	1.65	0.0	0.05	1.36	0.0	2.63	0.0	0.0	0.37	21.41	0.49	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.14	0.0	0.0	0.09	0.76	0.0	59.44	nuSVR
SRR13990629	0.07	0.03	0.0	0.0	4.98	0.32	0.0	0.0	3.54	0.1	0.06	0.16	0.0	0.01	7.83	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.06	0.0	82.68	nuSVR
SRR13990634	0.0	0.03	0.03	0.27	4.58	0.63	0.0	0.01	6.01	0.02	0.0	0.0	0.0	0.0	8.31	0.27	0.31	0.0	0.01	0.02	0.0	0.0	0.0	0.15	0.0	0.14	0.0	0.06	0.0	79.14	nuSVR
SRR13990635	0.0	0.0	0.0	1.03	13.15	0.76	0.0	0.14	2.55	0.0	1.12	0.33	0.0	0.27	25.26	0.09	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.05	0.0	0.0	0.06	0.22	0.0	54.9	nuSVR
SRR13990636	0.0	0.24	1.01	0.42	4.9	0.94	0.39	0.0	2.22	0.57	1.84	0.0	0.12	0.2	0.41	0.79	0.0	0.0	0.14	0.33	0.17	0.0	0.0	0.21	0.0	0.0	0.1	0.19	0.12	84.68	nuSVR
SRR13990637	0.0	0.04	0.0	0.64	6.32	0.59	0.0	0.01	1.33	0.0	0.67	0.11	0.0	0.07	10.67	0.27	0.0	0.0	0.02	0.0	0.04	0.0	0.0	0.12	0.0	0.0	0.02	0.37	0.0	78.68	nuSVR
SRR13990645	0.0	0.51	0.04	1.11	18.89	0.91	0.0	0.38	0.0	0.0	2.29	0.0	0.0	0.85	38.99	0.62	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.26	0.0	0.0	0.24	0.45	0.0	34.39	nuSVR
SRR13990665	0.0	0.24	0.0	1.46	17.74	0.25	0.0	0.21	2.47	0.0	2.1	0.18	0.08	0.4	35.47	0.28	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.12	0.0	0.0	0.12	0.4	0.0	38.27	nuSVR
SRR13990676	0.0	0.01	0.0	0.83	5.9	1.26	0.0	0.0	10.05	0.0	0.0	0.0	0.0	0.07	10.94	0.13	0.43	0.0	0.04	0.01	0.0	0.0	0.0	0.12	0.0	1.16	0.0	0.16	0.0	68.89	nuSVR
SRR13990695	0.0	0.02	0.0	0.56	6.65	0.93	0.0	0.03	8.33	0.0	0.0	0.09	0.01	0.04	8.05	0.2	0.13	0.0	0.01	0.0	0.0	0.0	0.03	0.18	0.0	8.33	0.01	0.1	0.0	66.29	nuSVR
SRR13990698	0.21	0.01	0.0	0.19	4.62	0.0	0.0	0.0	1.74	0.0	0.2	0.08	0.0	0.03	10.94	0.13	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.16	0.0	0.0	0.01	0.17	0.0	81.5	nuSVR
SRR13990703	0.0	0.02	0.17	0.02	6.99	0.48	0.0	0.0	2.24	0.0	0.3	0.1	0.01	0.04	14.08	0.38	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.05	0.0	0.0	0.01	0.21	0.0	74.87	nuSVR
