	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13991013	0.0	0.0	0.0	0.0	0.33	2.73	0.0	0.0	7.48	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	3.08	0.0	0.07	0.0	0.0	0.0	0.0	79.55	QP
SRR13990755	0.0	0.0	0.0	0.0	3.89	0.0	0.0	0.0	1.11	0.0	2.18	0.0	0.0	0.0	7.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	84.48	QP
SRR13990849	0.0	0.0	1.9	0.0	0.0	0.0	0.28	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.11	1.13	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	95.06	QP
SRR13990672	0.0	0.0	0.0	0.0	13.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.16	QP
SRR13990910	0.0	0.0	0.0	0.0	25.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.69	QP
SRR13990651	0.0	0.0	0.63	1.33	0.0	0.91	0.0	0.0	3.58	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	90.17	QP
SRR13990706	0.0	0.0	0.0	0.0	7.18	0.8	0.0	0.0	0.0	0.0	4.05	0.0	0.0	0.0	3.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.75	0.0	82.74	QP
SRR13991037	0.0	0.0	0.0	0.0	9.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.51	QP
SRR13990751	0.0	0.0	0.0	0.0	10.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.33	QP
SRR13990834	0.0	0.0	0.0	0.0	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.7	QP
SRR13990918	0.0	0.0	0.0	0.0	34.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.14	QP
SRR13990803	0.0	0.0	0.0	0.57	0.0	1.61	0.0	0.0	4.7	0.0	2.19	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	1.44	0.0	0.0	0.37	0.0	0.01	0.0	0.0	0.0	0.0	88.64	QP
SRR13990941	0.0	0.0	0.0	0.0	11.5	0.0	0.0	0.0	0.67	0.0	2.27	0.0	0.0	0.0	10.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	75.02	QP
SRR13990782	0.0	0.0	0.0	0.0	2.88	0.45	0.0	0.0	0.0	0.0	2.52	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.34	0.0	90.67	QP
SRR13990785	0.0	0.0	0.56	0.31	3.0	0.29	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	92.05	QP
SRR13990830	0.0	0.0	6.18	0.0	0.0	0.0	1.65	0.0	11.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.75	QP
SRR13990984	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	11.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.48	QP
SRR13990857	0.0	0.0	0.0	0.0	19.53	0.0	0.0	0.0	0.0	0.0	2.82	0.0	0.0	0.0	13.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.15	QP
SRR13990707	0.0	0.0	0.0	0.0	9.58	0.0	0.0	0.0	0.0	0.0	1.96	0.0	0.0	0.0	9.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.1	QP
SRR13990727	0.0	0.0	0.0	0.0	3.68	0.0	0.0	0.0	0.83	0.0	0.69	0.0	0.0	0.0	5.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.47	0.0	0.0	0.0	87.96	QP
SRR13990895	0.0	0.0	0.0	0.0	15.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.69	QP
SRR13990962	0.0	0.0	0.0	0.0	8.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.08	QP
SRR13990802	0.0	0.0	11.05	0.0	0.0	0.0	0.53	0.0	14.96	0.0	0.0	0.0	2.02	0.0	0.0	4.61	0.0	0.0	0.0	7.21	0.0	0.0	0.0	0.0	0.0	3.28	0.0	0.0	0.0	56.33	QP
SRR13990915	0.0	0.0	0.0	0.0	3.77	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	8.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.26	QP
SRR13991054	0.0	0.0	0.0	0.0	1.92	0.41	0.0	0.0	1.21	0.0	4.24	0.0	0.0	0.0	4.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.01	0.0	0.0	0.0	0.0	86.89	QP
SRR13990612	0.0	0.0	0.0	0.46	0.0	2.59	0.0	0.0	5.83	0.0	3.14	0.0	0.0	0.0	0.0	3.48	0.0	0.0	0.0	1.19	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	81.52	QP
SRR13990640	0.0	0.0	0.0	0.0	4.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.89	QP
SRR13990656	0.0	0.0	0.0	0.0	24.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.63	QP
SRR13990639	0.0	0.0	0.0	0.0	5.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.41	QP
SRR13990769	0.0	0.0	0.0	0.0	8.75	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	11.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	77.81	QP
SRR13990730	0.0	0.0	0.0	1.83	0.0	1.34	0.0	0.0	4.63	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	1.23	0.0	0.0	1.8	0.0	0.0	0.0	87.6	QP
