Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	Sample
0.0	0.0	0.0	27.32438	33.33333	0.0	30.30248	33.03473	61.29883	0.12999	4.50473	0.02246	0.0201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.36497	0.0	0.00509	0.0	0.0	0.0	6.905038928571429	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_3546_3
0.0	20.0	0.0	20.84206	0.0	20.82633	11.99671	0.16065	48.93514	0.02655	0.0	0.0	0.0	20.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	1.19114	0.0	0.01485	0.0	20.0	0.0	6.571193928571428	ReDeconv	2Median_1000_1500	T00_v2_Later-2_4450_5
0.0	0.0	0.0	17.89574	0.0	0.0	2.4963999999999995	0.19701	52.61329	0.11353	6.00982	16.66667	0.0	16.66667	0.0	16.66667	0.0	16.66667	0.0	0.07427	0.0	0.0	8.59751	0.0	0.02352	0.0	16.66667	0.0	6.119801428571429	ReDeconv	2Median_1000_1500	T00_v2_Later-8_5325_6
0.0	0.0	0.0	4.86617	0.0	18.08577	32.51608	0.16189	41.54918	0.0	0.80433	0.03529	33.33333	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	0.0	0.0	1.82649	0.0	33.17854	0.0	0.0	0.0	7.131799999999999	ReDeconv	2Median_1000_1500	T00_v2_Later-16_7939_3
0.0	33.33333	0.0	13.25979	0.0	19.64716	19.0166	1.24099	44.12184	0.0	0.0	0.39259	0.0	0.0	0.0	33.33333	0.0	0.0	0.0	0.46759	0.0	0.0	1.81458	0.0	0.03886	0.0	33.33333	0.0	7.142856785714286	ReDeconv	2Median_1000_1500	T00_v2_Later-2_1058_3
0.0	0.0	0.0	13.02057	0.0	0.0	2.5232600000000005	19.82504	46.59806	0.38762	0.0	20.0	20.0	20.0	0.0	0.0	0.0	0.0	0.0	5.02373	0.0	0.0	12.2437	0.0	0.01194	0.0	0.0	0.0	5.701211428571428	ReDeconv	2Median_1000_1500	T00_v2_Later-8_5291_5
0.0	0.0	0.0	15.09315	33.33333	0.0	8.76784	0.34076	64.93938	0.0	4.48038	0.06606	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	5.83169	0.0	0.01149	0.0	0.0	0.0	7.126097857142857	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_2832_3
0.0	0.0	0.0	21.94589	14.28571	0.0	8.17877	14.02479	65.15707	0.11574	3.38942	0.03995	14.28571	14.28571	0.0	0.0	0.0	0.0	0.0	14.28571	0.0	0.0	2.86013	0.0	14.2726	0.0	0.0	0.0	6.683114285714287	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_1590_7
0.0	11.11111	0.0	18.85949	11.11111	13.91797	2.04647	10.85803	46.19406	0.0	0.87418	11.034	11.11111	0.0	0.0	11.11111	0.0	11.11111	0.0	3.36477	0.0	0.0	7.38551	0.0	0.00918	0.0	11.11111	0.0	6.471797142857143	ReDeconv	2Median_1000_1500	T00_v2_Later-8_3088_9
0.0	0.0	18.18574	40.1729	33.33333	0.00239	22.80407	0.95678	14.93181	1.17082	0.0	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76641	0.0	0.00078	0.0	0.0	0.0	7.142560357142856	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_6862_3
0.0	0.0	0.0	16.46967	0.0	0.0	20.89486	0.56925	27.46573	0.0	0.0	0.0	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26716	0.0	0.0	0.0	0.0	0.0	4.761904642857141	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_7755_3
0.0	0.0	0.0	14.09453	0.0	0.0	10.40874	32.88972	65.98953	0.88105	3.46498	0.0	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	4.71756	0.0	0.0	0.0	0.0	0.0	7.111170357142856	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_6442_3
0.0	14.28571	0.0	5.06922	0.0	13.77855	12.12298	14.15792	22.09747	0.0	16.08817	0.0	0.0	0.0	0.0	0.0	0.0	14.28571	0.0	2.12068	0.0	0.0	14.28571	0.0	0.02372	0.0	14.28571	0.0	5.092912499999999	ReDeconv	2Median_1000_1500	T00_v2_Later-12_3608_7
0.0	0.0	0.0	21.07937	0.0	0.0	9.4656	16.28325	60.71911	0.13833	6.09553	16.66667	16.66667	16.66667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.32534	0.0	16.65096	0.0	0.0	0.0	6.598482142857144	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_1634_6
