NAME	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood
B4GALNT4	2.5555000000000003	1.79	1.86875	5.786	128.452	9.505249999999998	48.39399999999999	3.07825	1.1724999999999999	14.821500000000004	9.734000000000002	16.8505	6.42825	2.724	2.0465	1.5395	2.329	6.8055	1.13025	76.56575	2.675	58.16824999999999	21.70225	6.775	8.01575	2.0855	4.57075	7.33125	2.61875	1.59725
EPM2A	11.195500000000003	12.244999999999996	21.4635	19.4905	19.767000000000003	10.93875	11.898000000000003	4.560499999999999	10.359	43.56699999999999	18.143500000000003	40.17999999999999	6.538750000000001	21.228	10.343500000000002	7.849999999999999	8.896499999999998	7.2165	65.39125000000001	14.4415	5.47875	13.513499999999995	12.08525	7.145249999999999	10.056999999999999	8.787749999999999	8.719000000000001	15.0205	9.872249999999998	2.6845
SLC29A2	10.325	3.326	4.466500000000002	4.03525	11.3295	21.445000000000004	6.270499999999999	1.373	15.4615	3.46875	19.92	5.766	10.526499999999999	26.677499999999995	16.484	5.673499999999999	11.803	22.9055	97.76999999999998	5.317500000000001	15.11975	30.199249999999992	22.95825	7.029	20.14725	11.474750000000002	19.076	4.71825	20.94900000000001	3.0162500000000003
NPR3	27.1135	13.468500000000002	34.56475	7.062000000000001	1.6765	9.0035	10.6775	33.30700000000001	1.174	20.497750000000003	13.599	2.9319999999999995	18.6715	22.771	60.072750000000006	7.791999999999998	43.21049999999998	3.6445000000000007	5.745749999999999	22.48	2.2915	2.36025	14.902000000000005	17.881249999999994	4.13725	16.103	4.13575	4.87675	31.468750000000007	1.28225
PI3	1.17625	1.113	1.09375	1.2375	1.0695	1.63625	1.4375	1.1265	1.059	1.138	6.376500000000002	1.19	311.8285000000001	1.124	1.2967499999999998	1.2734999999999999	3.521	65.17750000000001	1.054	1.05975	1.16	1.20725	1.70975	5.8955	4.46625	2.7305	1.2565	1.1764999999999999	1.13375	32.17625
PLAU	41.8695	6.4785	21.32125	15.528500000000005	2.1129999999999995	18.51175	12.529999999999996	22.520000000000003	4.073499999999999	9.520249999999997	12.655999999999999	12.043000000000003	16.70725	10.84175	23.480999999999995	2.2364999999999995	29.0465	16.134499999999996	6.20475	12.102500000000003	5.201	4.180000000000001	13.84075	18.43225	16.225249999999996	59.672	11.027	4.02725	25.074500000000004	5.102249999999999
NECTIN3	12.174999999999995	7.909	14.945249999999996	11.694750000000003	6.9055	10.2905	13.569000000000003	97.27424999999997	1.0950000000000002	13.174249999999997	17.1115	12.483999999999998	2.75675	5.5295	6.124500000000001	14.015499999999996	10.4665	7.7734999999999985	2.72375	13.256	6.473749999999999	3.41075	9.582999999999998	3.329	15.243249999999996	3.8275	21.47075	84.62324999999998	28.07775	1.1815
TSPAN2	8.899499999999998	1.4825	57.54050000000001	36.0345	2.2835	8.99525	16.9405	1.21975	1.0755	94.22075000000001	38.12949999999999	56.19299999999999	5.41625	6.191000000000001	6.92375	1.367	7.751999999999998	5.915	1.96325	4.789750000000001	2.823	5.223999999999999	20.098	3.7035	8.944249999999998	5.572000000000001	10.299749999999996	2.945	6.209	28.97724999999999
TMEM125	1.18675	1.6265	1.08325	1.82225	10.189	6.1857500000000005	2.1375	1.02875	1.0785	1.1239999999999999	20.309	1.0735	12.36475	1.417	14.6305	1.561	69.46049999999998	34.074999999999996	1.0274999999999999	1.592	63.50725	50.05875	25.36350000000001	15.175500000000005	16.561999999999998	1.3632499999999999	32.27525	4.118	63.624	1.06875
SPATA18	5.51425	15.775	11.521500000000003	6.034000000000001	2.421	7.78725	7.8054999999999986	23.633	3.9085	5.848000000000001	8.194500000000001	6.333499999999999	12.242	3.80525	11.2775	4.5205	10.870999999999999	28.699999999999996	1.98775	8.016	4.5455000000000005	14.5825	15.854249999999999	18.95925	5.4315	2.75575	7.5335	195.32024999999996	5.703000000000001	1.0695
FAM78A	8.012	6.6905	3.63675	6.13625	9.587499999999999	6.0264999999999995	4.2905	2.436	53.38399999999999	4.01225	7.117500000000001	4.9955	3.74975	41.63575	4.711499999999999	3.1135	19.678	5.778499999999999	20.424749999999992	8.486999999999998	2.6797499999999994	4.333	5.2475000000000005	3.52175	21.152749999999997	75.61324999999998	5.34375	65.10175	5.12425	45.565250000000006
VIT	41.642999999999994	1.5505	18.361	28.67974999999999	1.66	25.31224999999999	17.136999999999993	18.596750000000004	1.0505	6.522500000000001	4.339	28.001	12.987499999999997	19.033750000000005	1.0884999999999998	1.0455	2.228	18.0335	11.079	130.754	1.8155	5.946	8.812000000000001	17.979750000000003	4.510999999999999	1.14025	3.939	5.754250000000001	17.20525	1.19325
PDE1B	46.47500000000001	6.206	37.401	33.72425	43.12449999999998	30.60924999999999	22.3085	1.1415	7.378000000000002	27.631499999999996	10.731499999999999	15.155499999999998	6.1365	5.92225	6.7465	2.4835	12.581	6.1674999999999995	2.914	15.45075	2.96975	3.02775	8.745000000000001	7.780750000000001	16.218000000000004	30.563	7.47475	8.103749999999998	16.898250000000004	15.087499999999997
