	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
361175_1	0.0	0.9	1.39	3.26	62.84	0.0	0.0	0.0	3.89	0.0	1.13	0.0	0.23	0.82	19.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.5	0.13	1.65	0.0	3.69	NNLS
472330_1	0.0	1.29	2.29	3.91	58.46	0.0	0.0	0.0	3.38	0.0	1.78	0.0	0.0	0.16	23.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.13	2.48	0.0	1.36	NNLS
147354_2	0.0	1.53	1.67	2.9	59.69	0.0	0.0	0.0	3.23	0.0	1.51	0.0	0.06	0.64	23.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.14	2.63	0.0	1.39	NNLS
261268_2	0.0	1.63	7.39	11.22	58.78	0.0	0.0	0.0	6.63	0.0	0.0	0.0	0.0	0.0	4.81	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	3.55	0.05	3.83	0.0	1.26	NNLS
265479_2	0.0	0.41	0.0	0.0	59.65	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.07	1.84	31.96	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.16	1.09	0.0	3.87	NNLS
209564_1	0.02	2.21	6.42	9.25	58.87	1.9	0.0	0.0	7.22	0.0	0.0	0.0	0.0	0.0	3.35	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	0.04	4.41	0.0	1.86	NNLS
133247_1	0.0	0.43	0.0	0.0	54.51	0.0	0.0	0.0	3.54	0.0	0.74	0.0	0.16	1.71	30.99	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.17	0.0	0.95	0.18	1.15	0.0	5.46	NNLS
260786_1	0.0	0.67	0.0	0.0	60.7	0.0	0.0	0.0	1.75	0.0	0.58	0.0	0.13	1.66	31.4	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.1	0.17	1.34	0.0	1.47	NNLS
331344_2	0.0	1.47	3.0	5.31	63.93	0.0	0.0	0.0	3.5	0.0	0.09	0.0	0.0	0.31	16.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	1.43	0.1	2.72	0.0	1.96	NNLS
349246_2	0.0	0.0	0.0	0.0	68.29	0.0	0.0	0.0	1.19	0.0	0.03	0.0	0.21	1.56	25.12	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.0	0.04	0.15	0.33	0.0	3.03	NNLS
