	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
cfrna_kd_89	0.11172974	0.003957443	0.024125738	0.077396326	0.09297585	0.0062413346	0.047518622	0.021028772	0.0003721975	0.0045478144	8.483051e-05	0.010368054	0.00032724233	0.00093580794	0.0019630664	0.09239048	0.18122955	0.010380469	0.0032948873	0.027518915	0.001735729	0.00027763282	0.0068511744	0.0071201506	0.0012332925	0.07894404	0.0032049404	0.004612531	0.0011707019	0.17646264
cfrna_kd_35	0.011780601	0.0010726091	0.0064143445	0.00082281174	0.008989995	0.002539542	0.047486313	0.0075695678	0.00047698795	0.01379439	0.05240139	0.007175068	0.0005413044	4.9660495e-05	0.0039036563	0.046757374	0.34691307	0.006212547	0.01688624	0.0034246128	0.0037888612	0.01105434	6.443103e-05	0.01315451	0.07249331	0.156149	0.00851813	0.01902588	0.0018275231	0.1287119
cfrna_kd_20	0.018629506	0.0003967472	0.0037815776	0.014309374	0.017820893	0.09233981	0.034938987	0.00032427485	2.2715965e-05	0.0037437761	0.1357995	0.0068047866	0.00046042315	0.00012901961	0.0039538313	0.012613842	0.30890325	0.0059634605	0.0117869675	0.00588006	0.000894342	0.0020590348	0.00045079066	0.019835252	0.057660677	0.1448731	0.0036182047	0.01703727	0.0008423548	0.074126214
cfrna_kd_31	0.012881386	0.0005899238	0.005407414	0.0038930739	0.0075940024	0.016204165	0.05409432	0.009683809	0.00019602684	0.024822483	0.09824283	0.015888948	0.00017022168	2.809515e-05	0.0026017416	0.015688945	0.38296193	0.008851663	0.013466489	0.008732463	0.0041647777	0.013877114	0.00017969162	0.011430735	0.032985702	0.103161044	0.008160002	0.027893774	0.0020590117	0.11408818
cfrna_kd_36	0.038774587	0.0018283447	0.0072849775	0.03947696	0.061095852	0.1387397	0.044831038	0.0056367167	2.6930393e-06	0.0072446913	0.020657066	0.008002971	0.0017376147	0.00037100448	0.004426133	0.049621392	0.23443848	0.008534754	0.0072713937	0.008106463	0.0011007327	0.0016859256	0.0011075345	0.014186071	0.010705883	0.12672284	0.004823759	0.007536722	0.00055772584	0.14348996
cfrna_kd_27	0.071431726	0.0011107649	0.0018218132	0.0043096147	0.019379733	0.0075504137	0.06016505	0.003579452	0.0005382161	0.0043651545	0.0030072422	0.0022590836	0.006506693	0.00019010977	0.0069079716	0.06834186	0.25702494	0.0069733337	0.0185288	0.0021298933	0.0019651598	0.0042713904	9.6925e-05	0.014834975	0.06384797	0.19303335	0.012740887	0.0047366656	0.0008507454	0.15750009
cfrna_kd_38	0.008433962	0.00037130504	0.00519882	0.002050598	0.00588432	0.020376878	0.045752782	0.004168308	0.0003462287	0.021909805	0.10494169	0.018622868	0.00028922423	3.262887e-05	0.0038786856	0.008731848	0.37956062	0.008833028	0.013871184	0.00643021	0.00369608	0.015587717	0.00017691948	0.012482899	0.06558074	0.10278093	0.008740566	0.029279647	0.0017205983	0.10026889
cfrna_kd_15	0.05955664	0.0013115709	0.009007662	0.014133348	0.025542473	0.0147578325	0.07219922	0.0055528856	6.9837195e-05	0.030654324	0.030477518	0.009083076	0.0002180565	8.0885104e-05	0.00307963	0.05244496	0.29714203	0.007164275	0.029942367	0.009324216	0.0031901097	0.0041749966	0.00060380436	0.006125351	0.0034884335	0.1278532	0.0071796263	0.013917757	0.0006672739	0.16105661
cfrna_kd_13	0.09761828	0.0008437749	0.0036220117	0.0044638305	0.017184673	0.0016642021	0.06796095	0.0019101602	0.0007008939	0.008092378	0.0038404115	0.004690681	0.00010269684	0.00015289197	0.00306111	0.10254044	0.27175286	0.0054145465	0.04832983	0.012523729	0.0008954717	0.00095172675	0.00034702817	0.004631899	0.009002996	0.17813395	0.0035182594	0.0073068603	0.00054041663	0.138201
cfrna_kd_98	0.023530753	0.00047689994	0.009819127	0.0016624035	0.0053536734	0.036105312	0.031352326	0.046713617	0.0004043435	0.027862769	0.07111349	0.026595786	0.00021213673	5.9228372e-05	0.003895268	0.011256244	0.33471534	0.011228945	0.027893184	0.007881644	0.0070287413	0.009337226	0.00055249844	0.011526457	0.011270003	0.111761354	0.009253377	0.028369458	0.0043025687	0.12846571
cfrna_kd_19	0.088156536	0.00159969	0.01013939	0.010944238	0.04753926	0.0046062022	0.07320538	0.015742175	0.0012785497	0.015812574	0.00070110545	0.01271011	0.00031967676	0.00019792626	0.0030081747	0.08877964	0.2657314	0.008585545	0.024734957	0.009607803	0.0023362918	0.0035998125	0.0014578706	0.0066354363	0.0037618342	0.10980489	0.009846134	0.017005524	0.00070798304	0.1614439
cfrna_kd_37	0.081125945	0.0020085864	0.014548023	0.04349863	0.058611885	0.0780983	0.06556265	0.012208417	1.733441e-05	0.009047663	0.0055510853	0.008985399	0.0009421344	0.00058085134	0.0031467543	0.056348797	0.24364354	0.009846363	0.0077055753	0.00804783	0.0017665366	0.0012473287	0.002477153	0.0109549835	0.003657826	0.11144457	0.0059195077	0.0058066803	0.00039987933	0.14679976
prevail_cu_cfrna_393	0.15644123	0.002915995	0.012823399	0.05017772	0.05526874	0.00030855404	0.06806076	0.0040379083	0.0008165337	0.003542486	0.0020431075	0.0051035616	0.00018342507	0.00020680249	0.0021296055	0.0970529	0.1835	0.0041851937	0.008661776	0.017196242	0.0019093299	0.00030761102	0.0030553464	0.0066178776	0.0029247385	0.016156394	0.002142871	0.002763423	0.00017524917	0.2892912
prevail_cu_cfrna_375	0.03386624	0.00093427557	0.0066752415	0.017139375	0.018383864	0.005323967	0.019239819	0.00066798896	0.00017186733	0.004430964	0.10782066	0.0034956087	0.00019392371	2.5520962e-05	0.0035694588	0.05823715	0.2758672	0.0051461454	0.03291292	0.005266083	0.0025319508	0.0038284098	0.00018728488	0.014551441	0.08948898	0.14962009	0.0054019047	0.015614853	0.0047658617	0.11464092
prevail_cu_cfrna_374	0.12393287	0.001199533	0.005252639	0.01402075	0.019572034	0.0017604993	0.061914176	0.0029585212	0.00022212899	0.007979472	0.039703146	0.0059111263	6.9472226e-05	9.978236e-05	0.0025977285	0.09846103	0.26165605	0.0046201004	0.03139049	0.011493991	0.0018618373	0.0008210406	0.0008889986	0.009383823	0.0076202163	0.04009477	0.004474825	0.006665592	0.00026149876	0.23311183
prevail_cu_cfrna_386	0.15281738	0.0046021543	0.029136516	0.079239	0.09094005	0.0016708124	0.036916144	0.028764708	0.00096415164	0.004343451	6.0260365e-05	0.012013042	0.000320984	0.00031272045	0.0010214415	0.07759559	0.17072523	0.009343072	0.0014785307	0.025071712	0.0019912946	0.0002286916	0.007977302	0.008805955	0.00138263	0.059679072	0.0018857146	0.0076040193	0.002084804	0.18102352
