	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
T00_v2_FFPE-2_64556_4	0.0013775879	0.0071836845	0.022999376	0.1876435	0.11483879	0.008140164	0.01688514	0.0009843679	0.0025242728	0.001228387	0.063542545	0.0126991095	3.3101906e-06	5.6502645e-06	0.021059655	0.026082689	0.0027275681	0.0008652485	0.04670527	0.015785664	0.108233385	0.14280993	0.005225764	0.05212342	0.029386412	0.022613531	0.00038943702	0.01703583	0.0647127	0.004187615
T00_v2_FFPE-2_201896_4	0.00083871174	0.009748768	0.015512469	0.13393076	0.10599052	0.03272744	0.015431505	0.0036064317	0.00079535716	0.0060269865	0.09392334	0.012498222	3.4757497e-07	0.0017744338	0.0004643509	0.06447838	0.0058121327	0.00059652835	0.031434037	0.012839211	0.059849214	0.15034156	0.009437285	0.06261339	0.019288506	0.0065212967	0.0003517363	0.03238775	0.10907618	0.0017031356
T00_v2_FFPE-2_486100_5	0.0022073172	0.0074203364	0.020467527	0.16246705	0.21334805	0.0050237654	0.036036197	0.0014188425	0.0066649555	0.0012135841	0.05027968	0.010738371	4.037693e-06	5.629354e-06	0.0042909104	0.019804277	0.0030598827	0.0012413455	0.04096205	0.013906446	0.11735964	0.086870015	0.008778294	0.058690306	0.020411374	0.027124362	0.0005447459	0.01755208	0.05861727	0.003491604
T00_v2_FFPE-2_54045_4	0.00083708134	0.008061968	0.023033392	0.22095297	0.06076004	0.009347701	0.015053356	0.0015109554	0.0020302113	0.0008270687	0.049141835	0.014272495	6.7996034e-06	3.5525031e-06	0.014330832	0.024528852	0.0013675302	0.0009827376	0.040202748	0.0137737915	0.08824864	0.23256342	0.0069975173	0.049788184	0.031280156	0.013024833	0.0004793705	0.016818032	0.05665686	0.0031171318
T00_v2_FFPE-2_972366_4	0.000533812	0.013137899	0.0152058955	0.1253384	0.0432625	0.042283677	0.013426721	0.0020393748	0.00295552	0.00081887277	0.10125411	0.013798571	1.786317e-07	0.046970014	0.014553192	0.06082163	0.006716748	0.0002578664	0.02510689	0.016744839	0.091497436	0.088697255	0.0076940055	0.057245467	0.031080725	0.0041387565	0.00064104743	0.029100591	0.14205071	0.0026273024
T00_v2_FFPE-2_225130_5	0.0005982841	0.0081526255	0.017453397	0.22317766	0.019204598	0.010565325	0.011991341	0.0021662423	0.00162549	0.0011649559	0.04842286	0.014940397	7.3121873e-06	6.1775004e-06	0.010539801	0.029447868	0.0010376561	0.000907273	0.037334297	0.0106271105	0.05972756	0.32251996	0.007816194	0.051084533	0.03027833	0.0058369027	0.00034190898	0.01475125	0.05504478	0.0032279503
T00_v2_FFPE-2_279085_5	0.003906309	0.0053280373	0.01066991	0.094410494	0.016991928	0.010679193	0.0041162106	0.0044725006	0.0016268785	0.13742703	0.11106133	0.017235493	3.055699e-07	2.1137343e-05	0.0028971436	0.07931882	0.028601673	0.0026447733	0.09491259	0.0048979498	0.03303791	0.12087197	0.008617656	0.06982309	0.028467666	0.0023276971	0.00032513685	0.036580376	0.06638247	0.0023462912
T00_v2_FFPE-2_163316_5	0.0026171482	0.0060047326	0.020554237	0.17070606	0.07324317	0.0070630177	0.008027796	0.0020099306	0.0019404171	0.022613509	0.099893786	0.01800234	9.844659e-07	3.918716e-06	0.01513957	0.04100211	0.00962039	0.0010530273	0.062588364	0.011228832	0.07849942	0.13109171	0.0073139872	0.06780153	0.036657143	0.010979281	0.0002988367	0.023597363	0.06731521	0.0031320865
T00_v2_FFPE-2_785309_4	0.0067518214	0.008001315	0.01470928	0.09328577	0.026774283	0.018133175	0.0024382381	0.0006846613	0.0017466432	0.038437016	0.1550955	0.012796071	7.514274e-08	0.003282711	0.0938636	0.121431045	0.025531333	0.00050555717	0.04830997	0.00663301	0.04477186	0.029655522	0.0049416986	0.06257691	0.047549635	0.004224036	0.0005074424	0.032829106	0.08967312	0.0048596356
T00_v2_FFPE-2_60642_4	0.0003478631	0.012541598	0.0161868	0.095707	0.026292117	0.045209628	0.007848074	0.0019696553	0.003470109	0.0009280017	0.10974303	0.015378256	3.8519937e-07	0.12003703	0.009857144	0.043211527	0.0068214918	0.00027054764	0.02913905	0.014248321	0.102094345	0.06756367	0.010552174	0.045529045	0.023364201	0.0023637463	0.0008240492	0.026208865	0.15963934	0.00265291
