Sample	Method	RemovedGenes	Average_AE	Total_AE
TSP25_random_rep4_seed8_10_200.h5ad	ReDeconv	0	0.9890660869565219	68.24556000000001
TSP25_random_rep5_seed8_10_200.h5ad	ReDeconv	0	1.182881739130435	81.61884
TSP21_random_rep1_seed8_20_400.h5ad	ReDeconv	0	1.2257460869565215	84.57647999999999
TSP21_random_rep2_seed8_20_400.h5ad	ReDeconv	0	0.8906156521739131	61.45248000000001
TSP21_random_rep3_seed8_20_400.h5ad	ReDeconv	0	0.9864168115942029	68.06276
TSP21_random_rep4_seed8_20_400.h5ad	ReDeconv	0	1.0519656521739134	72.58563000000002
TSP21_random_rep5_seed8_20_400.h5ad	ReDeconv	0	1.164528985507246	80.35249999999998
TSP25_random_rep1_seed5_30_600.h5ad	ReDeconv	0	1.3205239130434783	91.11615
TSP25_random_rep2_seed5_30_600.h5ad	ReDeconv	0	0.8295436231884052	57.23850999999996
TSP25_random_rep3_seed5_30_600.h5ad	ReDeconv	0	1.0590091304347826	73.07163
TSP25_random_rep4_seed5_30_600.h5ad	ReDeconv	0	1.401042753623188	96.67194999999997
TSP25_random_rep5_seed5_30_600.h5ad	ReDeconv	0	0.6747166666666665	46.555449999999986
TSP27_random_rep1_seed13_40_800.h5ad	ReDeconv	0	1.187516086956522	81.93861000000001
TSP27_random_rep2_seed13_40_800.h5ad	ReDeconv	0	0.8978053623188404	61.94856999999999
TSP27_random_rep3_seed13_40_800.h5ad	ReDeconv	0	1.1560910144927532	79.77027999999997
TSP27_random_rep4_seed13_40_800.h5ad	ReDeconv	0	1.2136959420289855	83.74502
TSP27_random_rep5_seed13_40_800.h5ad	ReDeconv	0	1.5099181159420294	104.18435000000002
TSP21_random_rep1_seed10_20_400.h5ad	ReDeconv	0	0.9444346376811593	65.16599
TSP21_random_rep2_seed10_20_400.h5ad	ReDeconv	0	1.7003147826086957	117.32172
TSP21_random_rep3_seed10_20_400.h5ad	ReDeconv	0	1.543582463768116	106.50719
TSP21_random_rep4_seed10_20_400.h5ad	ReDeconv	0	0.9427588405797102	65.05036
TSP21_random_rep5_seed10_20_400.h5ad	ReDeconv	0	1.0470666666666668	72.2476
TSP27_random_rep1_seed4_40_800.h5ad	ReDeconv	0	0.658771884057971	45.45526
TSP27_random_rep2_seed4_40_800.h5ad	ReDeconv	0	0.7735260869565217	53.3733
TSP27_random_rep3_seed4_40_800.h5ad	ReDeconv	0	1.098889855072464	75.8234
TSP27_random_rep4_seed4_40_800.h5ad	ReDeconv	0	1.4063086956521738	97.03529999999999
TSP27_random_rep5_seed4_40_800.h5ad	ReDeconv	0	1.4774159420289854	101.9417
TSP25_random_rep1_seed4_10_200.h5ad	ReDeconv	0	0.9167215942028984	63.253789999999995
TSP25_random_rep2_seed4_10_200.h5ad	ReDeconv	0	1.5789501449275363	108.94756000000001
TSP25_random_rep3_seed4_10_200.h5ad	ReDeconv	0	1.3331471014492748	91.98714999999997
TSP25_random_rep4_seed4_10_200.h5ad	ReDeconv	0	1.0538242028985505	72.71386999999999
TSP25_random_rep5_seed4_10_200.h5ad	ReDeconv	0	1.222106666666667	84.32536000000002
TSP25_random_rep1_seed12_10_200.h5ad	ReDeconv	0	0.9962817391304348	68.74344
TSP25_random_rep2_seed12_10_200.h5ad	ReDeconv	0	1.0471856521739131	72.25581000000001
TSP25_random_rep3_seed12_10_200.h5ad	ReDeconv	0	1.213148550724638	83.70725000000002
TSP25_random_rep4_seed12_10_200.h5ad	ReDeconv	0	1.0575362318840578	72.96999999999998
TSP25_random_rep5_seed12_10_200.h5ad	ReDeconv	0	1.293786231884058	89.27125000000001
TSP25_random_rep1_seed3_40_800.h5ad	ReDeconv	0	0.9356814492753621	64.56201999999999
TSP25_random_rep2_seed3_40_800.h5ad	ReDeconv	0	0.8085142028985508	55.78748000000001
TSP25_random_rep3_seed3_40_800.h5ad	ReDeconv	0	1.504015652173913	103.77708
TSP25_random_rep4_seed3_40_800.h5ad	ReDeconv	0	1.3683401449275363	94.41547
TSP25_random_rep5_seed3_40_800.h5ad	ReDeconv	0	1.104573913043478	76.21559999999998
TSP27_random_rep1_seed3_20_400.h5ad	ReDeconv	0	1.1102108695652175	76.60455
TSP27_random_rep2_seed3_20_400.h5ad	ReDeconv	0	1.1842828985507248	81.71552000000001
TSP27_random_rep3_seed3_20_400.h5ad	ReDeconv	0	1.2666815942028984	87.40102999999999
TSP27_random_rep4_seed3_20_400.h5ad	ReDeconv	0	1.0348897101449281	71.40739000000004
TSP27_random_rep5_seed3_20_400.h5ad	ReDeconv	0	1.5261394202898548	105.30361999999998
TSP27_random_rep1_seed4_20_400.h5ad	ReDeconv	0	0.9943911594202898	68.61299
TSP27_random_rep2_seed4_20_400.h5ad	ReDeconv	0	1.274748260869565	87.95763
TSP27_random_rep3_seed4_20_400.h5ad	ReDeconv	0	1.1275437681159421	77.80052
TSP27_random_rep4_seed4_20_400.h5ad	ReDeconv	0	0.9813979710144926	67.71645999999998
TSP27_random_rep5_seed4_20_400.h5ad	ReDeconv	0	1.8433078260869569	127.18824000000002
TSP25_random_rep1_seed10_20_400.h5ad	ReDeconv	0	0.8856008695652172	61.10645999999999
TSP25_random_rep2_seed10_20_400.h5ad	ReDeconv	0	0.9525353623188401	65.72493999999996
TSP25_random_rep3_seed10_20_400.h5ad	ReDeconv	0	0.9130672463768117	63.00164000000001
TSP25_random_rep4_seed10_20_400.h5ad	ReDeconv	0	1.077538695652174	74.35017
TSP25_random_rep5_seed10_20_400.h5ad	ReDeconv	0	1.3135473913043476	90.63476999999999
