Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	GeneRemoval	Sample
0.0	0.02506	2.11831	0.0	34.81653	6.76971	9.77816	6.30626	19.84663	4.20243	0.0	13.95	8.301839999999999	14.50983	0.0	0.03582	1.13702	0.0	0.0	3.1251199999999995	0.0	0.0	7.6129	0.29804	0.0	0.0	0.01109	0.15476	4.7499825	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_993842_5
0.0	0.00938	0.92217	0.0	0.0	17.25358	1.45488	26.73689	27.11616	2.87389	0.0	45.84866	4.3894	13.69472	0.32486	0.01859	1.84341	0.0	0.0	1.7676499999999995	0.0	2.36851	7.24002	0.0	0.0	0.0	0.01941	0.06772	5.498210714285713	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_975036_4
0.0049	7e-05	2.83425	0.0	46.26696	3.57774	7.36081	4.73929	23.92884	1.02361	0.0	5.037	2.44667	13.58332	0.42797	0.03793	1.99901	0.0	0.01604	2.02148	0.0	0.0	5.61003	0.0	0.0	0.0	0.06483	0.04693	4.322417142857144	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_419373_5
0.0	0.01281	2.18404	0.0	21.74509	9.16021	3.06964	18.407310000000003	30.98486	0.66932	0.0	29.153	0.0	13.10386	0.0	0.01259	2.22132	0.0	0.0	0.7488500000000009	0.0	1.39949	5.70691	0.0	0.0	0.0	0.03151	0.0	4.95038607142857	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_260947_4
0.00303	0.00469	1.77641	0.0	19.71597	4.63413	9.38866	9.03241	17.01154	6.07403	0.0	26.379	9.086220000000004	14.40976	0.0	0.02207	1.4176	0.0	0.00093	0.02536	0.0	0.0	8.21813	1.0047	0.00054	0.0	0.00573	0.21933	4.586794285714286	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_618024_4
0.0	0.0	0.37162	0.0	5.987	16.31444	3.55656	58.89587	24.17152	1.12218	0.0	11.504	0.0	7.16385	1.83632	0.02024	3.59836	0.0	0.0	3.66769	0.0	10.52974	4.0246	0.0	0.0	0.0	0.00975	0.0	5.456205	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_71674_4
0.0	0.01752	2.40955	0.0	0.0	7.82072	5.29266	7.326919999999999	6.26796	6.12861	0.12993	10.67311	22.474250000000005	10.76957	0.0	0.0	1.95604	0.0	0.0	9.293400000000002	0.00312	0.0013	6.89217	1.82647	0.00419	0.0	0.01211	0.23576	3.5548342857142865	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_293004_4
0.0	0.00481	0.74563	0.0	5.59206	14.65406	3.28832	52.36172	25.60076	2.14307	0.0	18.04418	2.65154	10.45172	1.62825	0.03626	2.74284	0.0	0.0	2.53589	0.0	8.57034	6.15271	0.0	0.0	0.0	0.06137	0.03347	5.617821428571427	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_255801_5
0.0	0.0239	2.46071	0.0	28.41641	8.07974	6.02507	8.61136	17.61815	3.67226	0.0	7.03907	9.38616	13.12369	0.0	0.03443	1.08503	0.0	0.0	5.112099999999998	0.0	0.0	5.81777	0.4797	0.0	0.0	0.01564	0.12902	4.183221785714285	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_372507_5
0.00249	0.01883	2.89386	0.0	25.49207	3.70622	5.22193	0.06301	18.81871	2.97739	0.0	9.368	9.47711	12.73424	0.0	0.0	1.73547	0.0	0.0	10.412580000000002	0.0	0.0	6.45591	0.0	0.0	0.0	0.02421	0.09997	3.9107857142857143	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_64556_4
0.0	0.01487	3.0527	0.0	19.03802	9.28137	3.3249	18.5109	29.77715	0.58568	0.0	34.06266	0.0	13.3357	0.0	0.02064	3.79706	0.0	0.00068	0.5696800000000017	0.0	1.4203	5.35791	0.0	0.0	0.0	1.07295	0.0	5.115113214285713	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_201896_4
0.0057	0.01094	3.09855	0.0	38.74807	4.28507	8.04812	4.9785	20.94099	1.21814	0.0	6.91307	3.20674	12.73206	0.0	0.05357	1.58729	0.0	0.00891	4.36131	0.0	0.0	6.16453	0.0	0.0	0.0	0.02151	0.03801	4.157895714285714	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_486100_5
0.0029	0.02747	2.7623	0.0	17.405050000000003	2.03558	3.46412	0.15226	19.40286	2.63064	0.0	5.18895	8.87548	10.07567	0.0	0.0	1.81344	0.0	0.0	17.565690000000004	0.0	0.0	6.56399	0.0	0.0	0.0	0.03049	0.07636	3.5026160714285717	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_54045_4
0.0	0.01614	2.43708	0.0	9.6601	12.5264	4.94826	0.0	31.71719	2.39419	0.0	65.28565	3.40571	14.17572	0.0	0.03434	1.31719	0.0	0.00418	0.0759799999999994	0.0	0.0	8.60446	0.0	0.0	0.0	0.03033	0.07	5.596532857142856	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_972366_4
0.0	0.0	2.8635	0.0	5.163	6.45158	5.08093	5.207	10.70254	1.61979	0.00151	5.002	7.926939999999999	7.53114	0.0	0.0	2.65507	0.0	0.0	21.18276	0.0	0.69766	6.79256	0.0	0.0	0.0	0.02169	0.06374	3.177264642857143	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_225130_5
0.0	0.00381	0.08584	0.0	5.33795	14.56743	2.94733	57.33248	23.00773	1.98672	0.0	9.32691	2.43155	8.48858	1.56618	0.0272	3.59214	0.0	0.0	3.2017299999999995	0.0	9.96533	4.96595	0.0	0.0	0.0	0.00799	0.0149	5.316348214285713	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_279085_5
0.0	0.00898	1.81798	0.0	16.962600000000002	8.2056	4.83895	34.16262	22.75545	3.17529	0.0	7.78	6.096730000000001	12.74755	0.42232	0.03885	3.14463	0.0	0.0	3.3346	0.0	3.39996	7.67713	0.0	0.0	0.0	0.01604	0.08781	4.881181785714285	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_163316_5
0.0	0.00444	1.0628	0.0	7.75308	14.80106	4.61015	29.01674	19.53209	5.09247	0.0	29.8683	5.051880000000001	15.58341	0.51349	0.02732	2.60474	0.0	0.00136	0.53742	0.00014	1.90005	5.2348	0.0	0.00117	0.0	0.00912	0.17397	5.120714285714285	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_785309_4
0.0	0.02917	1.65578	0.0	5.53606	15.81875	3.30546	0.0	32.24854	1.98921	0.0	73.15281	1.83244	15.42406	0.0	0.05854	3.00227	0.0	0.00704	0.43452	2e-05	0.0	6.47533	0.0	0.0	0.0	0.03383	0.03878	5.751521785714284	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_60642_4
0.0	0.00316	2.62146	0.0	46.15464	7.14551	8.82819	4.99486	25.50813	0.22734	0.0	11.20589	0.0	12.76946	0.4428	0.04742	2.89055	0.0	0.01687	2.19569	0.0	0.0	3.99029	0.0	0.0	0.0	0.05842	0.00147	4.610791071428572	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_709011_4
0.0	0.01064	1.69833	0.0	12.17088	15.87146	3.67054	22.57694	36.06145	0.79895	0.0	52.56147	0.0	13.88914	0.04528	0.03916	3.6911	0.0	0.00302	2.0473800000000004	0.0	2.51	5.09106	0.0	0.0	0.0	1.88177	0.0	6.236377499999999	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_608040_4
0.0	0.01619	1.63933	0.0	14.223	13.48336	5.3319	7.838710000000001	23.93631	4.13499	0.0	42.131	5.665309999999998	15.83925	0.0	0.03599	2.38909	0.0	0.00187	2.7326999999999995	0.0	0.0	5.62552	0.0	0.0	0.0	0.0196	0.13734	5.185052142857141	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_981110_5
0.0	0.0	0.80491	0.0	16.375329999999998	12.25644	4.48921	46.47528	21.66708	3.83717	0.0	6.093	4.689570000000002	12.26509	1.46231	0.03976	2.78672	0.0	0.0	1.1878	0.0	5.63744	7.08914	0.0	0.0	0.0	0.00372	0.1064	5.259513214285714	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_705318_4
0.0	0.0	1.83024	0.0	29.7233	8.75807	6.41555	36.29718	27.40856	0.80151	0.0	5.067	0.0	12.54747	1.51825	0.07518	2.34938	0.0	0.0	1.48053	0.0	3.60077	4.19851	0.0	0.0	0.0	0.10346	0.0	5.077677142857142	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_10767_4
0.00853	0.022	3.1643	0.0	20.03832	1.38873	9.27331	0.0	13.40306	5.51653	0.0	8.087	17.385650000000002	13.02949	0.0	0.01368	1.53077	0.0	0.00082	10.83123	0.00111	0.0	7.06127	1.70855	0.0	0.0	0.01288	0.21571	4.024747857142857	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_564750_4
0.0	0.01259	1.10417	0.0	24.51696	10.52885	8.06898	21.97681	23.63927	4.49508	0.0	22.22978	5.666390000000003	15.30961	0.0	0.03572	3.24619	0.0	0.00042	0.02537	0.0	1.17274	6.54386	0.05406	0.0	0.0	0.00873	0.1443	5.313567142857144	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_922981_4
0.0	0.01299	1.8704	0.0	5.037	15.58093	2.3791	4.81481	33.17425	1.48771	0.0	70.7145	1.4216200000000003	15.99632	0.0	0.04238	2.5259	0.0	0.00626	2.638539999999999	0.0	0.0	6.22338	0.0	0.0	0.0	0.03143	0.01835	5.856281071428571	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_642390_5
0.0	0.0	2.04601	0.0	34.697199999999995	7.77878	7.54513	25.66194	23.91511	1.34619	0.0	6.181	2.3787	11.84362	0.46277	0.04458	3.07668	0.0	0.0	1.86038	0.0	1.34207	7.56454	0.0	0.0	0.0	0.0657	0.02728	4.922774285714285	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_978017_5
0.0	0.02253	2.71366	0.0	36.38936	7.65925	9.42599	14.23827	17.35087	3.21283	0.0	0.0	7.69336	13.48803	0.0	0.04469	1.27848	0.0	0.00662	3.29693	0.0	0.00047	6.27002	0.02288	0.0	0.0	0.01292	0.10867	4.401279642857143	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_779480_4
0.0	0.00603	1.09478	0.0	6.74207	12.04151	3.35385	48.1312	18.16012	4.39616	0.0	6.27706	5.53031	12.31817	1.40773	0.0313	2.47635	0.0	0.0	0.5277000000000003	0.0	5.29073	5.43222	0.00443	0.00214	0.0	0.00609	0.13133	4.762902857142857	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_214487_5
0.0	0.0	1.72457	0.0	5.22	5.79022	1.0675	27.03315	15.51043	1.98163	0.0	0.0	5.1007	9.1276	0.26093	0.02831	3.04236	0.0	0.0	10.01462	0.0	3.33906	5.43153	0.0	0.0	0.0	0.0291	0.03523	3.3834621428571436	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_97781_4
0.0	0.00364	0.41401	0.0	5.616	15.54031	2.65286	54.59103	25.09042	1.94751	0.0	14.811	1.9228700000000003	9.46521	1.73118	0.02784	3.14291	0.0	0.0	2.9987299999999992	0.0	9.00028	4.84661	0.0	0.0	0.0	0.06182	0.01759	5.495779285714287	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_809577_5
0.0	0.01357	1.58965	0.0	5.725	5.54888	7.42836	11.53944	5.70838	7.63319	0.16332	10.589	20.66979	12.89462	0.09808	0.01407	2.90318	0.0	0.00272	3.55175	0.00359	0.00636	5.04398	2.71913	0.00554	0.0	0.00537	0.293	3.7196417857142854	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_589153_5
0.00069	0.02415	2.02913	0.0	27.18588	4.9793	8.50106	0.0	17.34615	4.82571	0.0	17.876	9.96952	14.0451	0.0	0.02986	1.14621	0.0	0.00024	6.01999	0.0	0.0	6.81735	1.11929	0.00016	0.0	0.0141	0.17359	4.360838571428572	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_876136_4
