	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
cfrna_kd_105	0.0	0.0	1.04	0.0	0.0	0.0	6.43	0.0	83.44	0.0	0.0	0.0	1.53	0.0	0.0	0.04	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.84	0.0	3.54	0.0	2.12	MuSiC
cfrna_kd_5	0.0	0.0	1.74	0.0	0.0	0.0	0.0	0.0	50.88	0.02	0.0	0.0	2.7	0.0	0.0	0.0	8.82	0.01	0.2	6.53	0.01	0.0	0.0	0.03	0.0	18.0	0.0	5.23	0.01	5.84	MuSiC
cfrna_kd_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.87	0.0	0.0	0.0	0.27	0.0	0.0	0.0	28.36	0.02	0.07	8.54	0.01	0.02	0.0	0.03	0.0	11.76	0.0	11.62	0.0	7.41	MuSiC
cfrna_kd_2	4.41	0.0	2.13	0.0	0.96	2.36	1.63	0.0	59.63	3.03	0.0	0.0	0.19	0.0	0.0	0.0	3.88	0.0	0.01	0.97	0.0	0.0	0.0	0.05	0.0	12.26	0.0	2.34	0.0	6.17	MuSiC
cfrna_kd_3	0.0	0.0	2.26	0.0	0.0	0.0	0.0	0.0	70.97	0.0	0.0	0.0	0.03	0.0	0.0	0.0	3.55	0.0	0.0	3.79	0.0	0.0	0.0	0.08	0.0	12.61	0.0	4.01	0.0	2.68	MuSiC
cfrna_kd_102	0.0	0.0	0.7	0.0	0.0	0.0	2.75	0.0	78.52	0.0	0.0	0.0	2.69	0.0	0.0	0.03	0.91	0.01	0.01	0.64	0.02	0.0	0.0	0.01	0.0	5.36	0.0	7.32	0.0	1.02	MuSiC
cfrna_kd_28	0.0	0.0	2.33	0.0	0.0	0.0	2.75	0.0	81.08	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.97	0.0	0.0	1.76	0.0	0.0	0.0	0.0	0.0	3.66	0.0	3.48	0.0	2.89	MuSiC
cfrna_kd_32	0.0	0.0	0.07	0.0	0.0	0.0	13.71	0.0	52.44	0.0	0.0	0.0	0.58	0.0	0.0	0.01	5.13	0.0	0.03	4.77	0.0	0.0	0.0	0.0	0.0	13.95	0.0	2.96	0.0	6.35	MuSiC
cfrna_kd_1	0.06	0.0	4.17	0.0	0.02	0.0	2.89	0.0	69.64	0.0	0.0	0.0	1.65	0.0	0.0	0.01	1.74	0.0	0.01	4.47	0.0	0.0	0.0	0.04	0.0	10.43	0.0	3.35	0.0	1.52	MuSiC
cfrna_kd_101	0.0	0.0	0.0	0.0	0.0	0.0	5.44	0.0	81.16	0.0	0.0	0.0	0.2	0.0	0.0	0.14	0.98	0.02	0.09	0.26	0.01	0.03	0.0	0.17	0.0	2.86	0.0	4.91	0.01	3.73	MuSiC
cfrna_kd_34	0.0	0.0	4.75	0.0	0.0	0.0	1.86	0.0	66.7	0.0	0.0	0.0	1.41	0.0	0.0	0.0	2.47	0.0	0.01	3.12	0.02	0.0	0.0	0.03	0.0	9.44	0.0	4.18	0.0	6.0	MuSiC
cfrna_kd_8	0.0	0.0	4.95	0.0	0.0	0.0	0.0	0.0	49.87	0.0	0.0	0.0	0.72	0.0	0.0	0.0	16.63	0.0	0.02	2.56	0.0	0.0	0.0	0.0	0.0	14.79	0.0	2.43	0.0	8.03	MuSiC
cfrna_kd_6	0.05	0.0	8.07	0.0	0.0	0.0	0.0	0.0	64.56	0.0	0.0	0.0	0.83	0.0	0.0	0.02	6.12	0.0	0.0	3.49	0.0	0.0	0.0	0.0	0.0	5.73	0.0	1.93	0.0	9.21	MuSiC
cfrna_kd_25	0.0	0.0	3.31	0.0	0.0	0.0	1.0	0.0	69.1	0.0	0.0	0.0	0.4	0.0	0.0	0.03	4.19	0.0	0.01	4.3	0.01	0.11	0.0	0.0	0.0	7.04	0.0	7.09	0.03	3.37	MuSiC
cfrna_kd_30	0.0	0.0	2.43	0.0	0.0	0.0	7.55	0.0	73.39	0.0	0.0	0.0	1.71	0.0	0.0	0.04	2.61	0.0	0.01	0.95	0.01	0.0	0.0	0.03	0.0	5.01	0.0	2.45	0.01	3.8	MuSiC
cfrna_kd_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.33	0.0	0.0	0.0	0.11	0.0	0.0	0.0	21.68	0.0	0.0	7.85	0.0	0.0	0.0	0.0	0.0	18.98	0.0	7.87	0.0	3.18	MuSiC
cfrna_kd_14	0.0	0.0	4.81	0.0	0.0	0.0	3.47	0.0	57.54	0.0	0.0	0.0	0.26	0.0	0.0	0.0	6.49	0.0	0.0	2.96	0.02	0.0	0.0	0.19	0.0	4.68	0.0	12.12	0.0	7.45	MuSiC
cfrna_kd_89	0.0	0.0	10.27	0.0	0.0	0.0	0.0	0.0	67.17	0.09	0.0	0.0	0.08	0.0	0.0	0.62	5.18	0.0	0.0	2.4	0.0	0.0	0.0	0.02	0.0	7.31	0.0	1.99	0.0	4.88	MuSiC
cfrna_kd_35	0.0	0.0	0.97	0.0	0.0	0.0	4.53	0.0	73.78	0.0	0.0	0.0	0.05	0.0	0.0	0.03	1.58	0.0	0.0	1.35	0.0	0.0	0.0	0.18	0.0	9.31	0.0	2.85	0.0	5.37	MuSiC
cfrna_kd_20	0.0	0.0	6.2	0.0	0.0	0.0	10.71	0.21	63.26	0.0	0.0	0.0	0.92	0.0	0.0	0.0	2.23	0.0	0.02	0.86	0.04	0.02	0.0	0.11	0.0	6.82	0.0	6.19	0.0	2.39	MuSiC
cfrna_kd_31	0.0	0.0	0.32	0.0	0.0	0.0	3.0	0.0	84.57	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.13	0.0	2.04	0.0	3.93	0.0	4.77	MuSiC
cfrna_kd_36	2.11	0.0	0.18	0.0	5.76	10.95	9.4	0.0	52.64	3.71	0.0	0.0	1.87	0.0	0.0	0.31	2.5	0.0	0.0	0.38	0.01	0.0	0.0	0.13	0.0	5.89	0.0	0.91	0.0	3.23	MuSiC
