	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13990976	0.0	0.0	0.0	0.0	0.03	0.0	10.86	0.0	61.24	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	26.4	MuSiC
SRR13991009	0.0	0.0	4.92	0.0	0.0	0.0	9.76	0.0	47.28	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	36.43	MuSiC
SRR13990979	0.0	0.0	11.34	0.0	0.0	0.0	7.02	0.0	52.48	0.0	0.0	0.0	1.36	0.0	0.0	0.0	3.69	0.0	0.0	0.04	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.07	0.0	23.8	MuSiC
SRR13990977	0.0	0.0	0.93	0.0	0.03	0.0	14.28	0.0	57.94	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.09	0.01	0.0	0.12	0.0	0.01	0.0	0.41	0.0	0.0	0.0	0.02	0.0	24.72	MuSiC
SRR13991100	0.0	0.0	4.98	0.0	0.0	0.0	11.06	0.0	53.63	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	29.43	MuSiC
SRR13990810	0.0	0.0	1.84	0.0	0.0	0.0	11.4	0.0	53.23	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.04	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	32.38	MuSiC
SRR13990982	0.0	0.0	0.0	0.0	0.39	0.0	13.57	0.0	56.09	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.11	0.0	0.0	0.44	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	28.92	MuSiC
SRR13991004	0.0	0.0	0.0	0.0	0.02	0.0	16.08	0.0	53.41	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.05	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.72	MuSiC
SRR13990811	0.0	0.0	0.55	0.0	0.01	0.0	13.9	0.0	49.18	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	34.96	MuSiC
SRR13991039	0.0	0.0	0.0	0.0	0.08	0.0	13.2	0.0	57.89	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.03	0.05	0.01	0.25	0.02	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	27.8	MuSiC
