	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR10192179	2.97	0.0	4.91	1.6	0.89	2.56	0.0	0.4	17.07	2.86	4.58	0.0	0.87	0.0	0.14	0.08	0.3	2.81	0.0	0.32	0.0	0.0	0.0	1.22	0.0	5.16	0.0	3.41	0.0	47.84	ReDeconv
SRR10192192	6.61	0.59	4.23	0.0	1.55	3.17	0.0	0.88	20.11	3.3	9.75	0.59	4.55	0.0	0.0	0.36	1.11	0.22	0.0	0.0	0.0	0.0	0.18	0.0	0.0	7.18	0.0	2.08	0.0	33.52	ReDeconv
SRR10192239	1.94	0.0	3.97	0.12	0.86	6.38	0.0	2.81	19.02	3.64	8.53	0.0	2.93	0.08	0.45	0.0	0.0	0.08	0.0	0.02	0.0	0.1	0.0	0.97	0.0	7.93	0.0	2.56	0.0	37.59	ReDeconv
SRR10192207	0.0	0.0	1.85	0.74	1.04	14.54	0.0	0.0	14.46	2.01	11.83	0.0	2.1	0.0	0.37	0.14	6.22	0.0	1.27	0.43	0.0	0.52	0.23	1.99	0.0	7.17	0.0	4.49	0.35	28.26	ReDeconv
SRR10192196	0.0	0.0	5.1	0.0	0.91	13.36	0.0	0.0	22.73	0.0	15.46	0.0	5.12	1.47	0.49	0.21	1.55	0.0	0.01	0.46	0.1	0.0	0.21	0.9	0.0	5.45	0.0	3.27	0.46	22.72	ReDeconv
SRR10192451	0.0	0.0	4.92	1.67	1.14	6.54	0.0	2.04	8.14	0.0	12.98	0.0	1.35	0.0	0.86	0.13	0.48	0.0	0.07	0.62	0.02	0.78	0.09	0.82	0.0	5.75	0.0	4.24	0.0	47.34	ReDeconv
SRR10192181	4.13	0.0	4.45	0.0	1.25	7.01	0.0	3.55	20.0	5.65	7.42	0.0	5.25	0.06	0.0	0.09	1.54	0.0	0.0	0.12	0.0	0.11	0.4	0.2	0.0	8.76	0.0	2.06	0.0	27.96	ReDeconv
SRR10192224	0.0	0.0	7.76	0.0	2.48	4.6	0.0	1.23	8.52	1.86	6.52	0.0	1.27	0.07	0.31	0.06	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.3	0.0	3.84	0.0	5.13	1.46	52.77	ReDeconv
SRR10192226	0.53	0.0	6.15	0.0	1.91	6.95	0.0	0.73	12.31	1.2	8.94	0.0	2.76	0.14	0.29	0.11	0.61	0.0	0.01	0.0	0.15	1.42	0.0	0.98	0.0	9.26	0.0	3.57	0.0	41.95	ReDeconv
SRR10192371	4.63	0.0	5.02	0.0	0.78	0.04	0.0	0.04	13.97	0.51	7.93	1.39	0.67	0.02	0.19	0.0	1.0	0.35	0.0	0.34	0.35	0.03	0.35	1.15	0.0	2.37	0.0	2.19	0.0	56.68	ReDeconv
SRR10192187	3.72	0.0	3.97	0.0	0.97	0.66	0.0	3.94	24.51	0.0	13.75	2.99	3.09	0.0	0.0	0.04	0.95	2.03	0.0	0.25	0.0	0.04	0.89	0.97	0.0	5.36	0.0	2.36	0.46	29.04	ReDeconv
SRR10192210	0.0	0.1	3.54	3.56	0.47	17.1	0.0	0.0	10.45	0.0	16.94	0.0	5.25	0.0	0.3	0.27	1.29	0.0	0.7	0.08	1.0	1.13	0.0	1.49	0.0	6.42	0.0	2.33	0.0	27.61	ReDeconv
SRR10192223	0.0	0.0	3.8	0.0	1.39	5.56	0.0	1.18	13.13	0.0	9.79	0.93	2.08	0.0	0.0	0.37	1.96	0.0	0.09	0.02	0.01	0.0	1.35	1.28	0.0	2.66	0.0	3.26	0.0	51.12	ReDeconv
SRR10192182	5.78	0.0	2.9	1.02	1.03	4.38	0.0	2.53	20.94	1.94	9.85	0.99	5.45	0.0	0.0	0.05	1.68	0.13	0.0	0.84	0.0	0.18	1.43	0.23	0.0	6.86	0.0	1.87	0.0	29.92	ReDeconv
SRR10192359	0.0	0.0	4.54	3.09	2.6	5.2	0.0	2.95	11.47	0.0	4.61	0.0	0.89	0.0	0.57	0.07	0.0	1.12	0.0	0.15	0.0	0.0	0.04	1.72	0.0	5.75	0.0	3.13	0.47	51.62	ReDeconv
SRR10192237	0.0	0.0	3.41	0.0	0.5	16.91	0.0	0.0	23.92	0.0	15.48	0.23	5.65	1.98	0.87	0.12	1.35	0.0	0.31	0.19	0.0	0.0	0.86	0.31	0.0	7.11	0.0	1.93	0.0	18.87	ReDeconv
SRR10192379	5.08	0.0	6.58	0.79	1.42	1.0	0.0	5.5	12.53	0.0	11.68	0.0	0.8	0.0	1.16	0.0	0.9	2.27	0.0	0.04	0.0	0.0	0.1	0.59	0.0	4.27	0.0	1.84	0.0	43.45	ReDeconv
SRR10192404	0.78	0.0	5.77	0.0	1.01	1.6	0.0	3.16	7.23	0.0	3.87	0.82	0.24	0.0	0.03	0.0	0.29	0.76	0.0	0.0	0.31	0.0	1.49	0.2	0.0	1.04	0.0	2.0	0.03	69.37	ReDeconv
SRR10192243	0.0	0.0	7.07	0.0	0.98	7.94	0.0	2.14	18.62	0.0	13.12	1.09	2.76	0.17	0.45	0.11	0.91	1.37	0.0	0.0	0.0	0.0	0.0	0.46	0.0	5.89	0.0	2.98	0.01	33.92	ReDeconv
SRR10192193	3.69	0.1	5.3	0.0	0.94	4.99	0.0	0.0	24.54	1.69	14.99	0.0	4.44	0.0	0.15	0.0	0.96	0.0	0.0	0.22	1.38	0.0	2.99	1.79	0.0	7.06	0.0	1.92	0.3	22.55	ReDeconv
