	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
prevail_cu_cfrna_175	18.92	0.0	11.42	0.0	6.37	0.0	0.0	2.22	2.07	0.0	3.55	0.0	0.0	2.87	1.63	0.1	0.04	13.31	0.0	0.0	0.55	0.18	8.32	2.74	0.0	0.78	1.66	8.17	0.39	14.7	ReDeconv
prevail_cu_cfrna_177	6.39	0.0	18.64	0.0	9.46	0.0	0.0	2.03	6.84	0.0	2.55	0.0	0.0	0.25	1.87	0.0	0.0	1.44	0.0	0.0	0.0	0.0	4.13	0.56	3.68	7.04	3.81	4.63	0.0	26.69	ReDeconv
prevail_cu_cfrna_179	6.61	0.4	14.64	0.0	5.34	0.0	0.0	0.76	7.33	0.26	4.26	1.41	0.04	0.19	0.05	0.0	0.0	3.45	0.0	0.0	0.0	0.0	3.19	0.76	0.0	5.72	10.01	4.9	0.0	30.67	ReDeconv
prevail_cu_cfrna_182	24.49	0.0	8.67	0.0	6.12	0.0	0.0	2.77	4.14	0.0	1.38	0.0	0.0	0.04	1.62	0.0	0.0	4.36	0.0	1.47	0.0	0.0	6.9	0.09	0.0	2.85	1.22	4.29	0.0	29.58	ReDeconv
prevail_cu_cfrna_185	7.02	0.35	9.08	0.0	6.34	0.0	2.22	1.67	6.87	2.48	0.0	0.0	0.0	0.0	6.97	0.0	0.47	6.43	0.0	0.0	5.25	2.22	0.19	3.43	7.06	2.4	2.33	11.62	2.79	12.81	ReDeconv
prevail_cu_cfrna_228	23.7	0.0	4.94	0.0	7.85	0.0	0.0	2.83	6.18	0.0	7.1	6.59	0.0	0.19	0.0	0.04	0.0	11.39	0.0	0.0	0.05	0.0	1.46	2.86	0.0	5.93	0.0	4.6	0.0	14.29	ReDeconv
prevail_cu_cfrna_230	27.02	0.0	8.0	0.0	4.32	0.0	0.0	1.39	3.56	0.0	5.19	5.05	0.0	0.0	2.54	0.0	0.0	7.47	0.0	0.0	0.0	0.0	2.95	0.03	0.0	2.41	0.54	3.57	0.0	25.94	ReDeconv
prevail_cu_cfrna_191	6.37	0.0	11.97	0.0	8.65	0.0	0.0	1.78	6.22	5.91	8.5	0.0	2.09	0.0	1.63	0.18	0.0	3.77	0.0	1.2	0.07	0.36	5.35	1.12	0.0	2.63	0.0	6.38	2.41	23.42	ReDeconv
prevail_cu_cfrna_192	21.7	0.0	5.84	0.0	6.26	0.0	0.0	2.2	1.76	0.0	1.63	0.0	0.43	3.42	2.26	0.0	0.0	6.21	0.0	3.56	0.7	0.0	4.43	0.82	4.53	5.84	0.0	6.25	0.65	21.5	ReDeconv
prevail_cu_cfrna_193	9.08	1.35	11.08	0.0	5.66	0.0	0.0	1.22	3.99	0.0	3.14	4.7	7.87	0.06	4.02	0.06	0.0	4.79	0.0	3.11	0.06	0.0	11.1	1.53	0.0	0.0	0.0	7.11	3.18	16.89	ReDeconv
prevail_cu_cfrna_194	1.39	0.04	11.84	0.0	10.17	0.0	0.0	2.96	5.72	1.06	0.0	0.0	3.14	1.83	5.0	0.26	0.0	9.37	0.0	4.13	0.54	0.29	4.63	3.76	0.0	5.17	0.63	10.42	0.0	17.67	ReDeconv
prevail_cu_cfrna_195	12.57	0.0	12.86	0.0	2.5	0.0	0.0	2.6	2.05	6.22	2.53	0.0	0.0	1.36	1.04	0.14	0.0	11.27	0.0	1.01	0.42	0.55	7.45	0.88	0.0	5.12	0.0	6.1	1.1	22.22	ReDeconv
prevail_cu_cfrna_196	6.9	0.5	7.87	0.0	4.18	0.0	0.0	2.66	4.42	0.0	12.29	4.14	2.93	3.22	1.71	0.03	0.0	5.98	0.0	2.16	0.0	1.32	6.9	1.09	0.0	2.89	0.0	7.19	0.51	21.11	ReDeconv
prevail_cu_cfrna_197	5.37	0.0	6.52	0.0	4.49	0.0	0.0	0.0	9.11	7.86	0.0	0.0	0.0	0.61	0.27	0.14	0.0	17.65	0.0	0.93	0.0	0.05	0.7	0.0	0.0	0.12	25.52	5.91	1.1	13.66	ReDeconv
prevail_cu_cfrna_272	13.51	0.0	14.52	0.0	2.3	0.0	0.0	1.32	4.21	8.93	0.0	0.0	0.85	0.26	0.5	0.0	0.0	9.66	0.0	2.34	0.0	0.04	1.91	0.77	0.0	1.83	13.52	4.59	0.0	18.94	ReDeconv
prevail_cu_cfrna_278	5.25	1.87	11.68	0.0	1.5	0.0	3.43	0.0	7.91	9.71	0.0	0.0	0.0	0.48	1.42	0.4	0.0	7.1	0.0	1.82	0.0	1.42	1.75	2.53	0.0	5.95	26.29	5.19	2.39	1.92	ReDeconv
prevail_cu_cfrna_271	1.19	1.93	11.46	0.0	4.58	2.53	0.0	2.19	4.88	4.46	3.72	0.21	2.87	2.56	4.2	0.0	0.0	2.54	0.0	0.44	0.0	0.0	7.24	2.03	0.0	5.8	0.0	5.39	0.08	29.72	ReDeconv
prevail_cu_cfrna_270	6.26	0.0	2.29	0.0	1.77	0.0	0.0	0.55	3.6	10.78	0.0	0.0	0.0	0.15	0.0	0.49	0.0	24.53	0.0	4.32	0.0	0.0	0.0	0.15	0.99	0.71	36.08	4.22	0.0	3.11	ReDeconv
prevail_cu_cfrna_234	18.1	0.76	15.88	0.0	7.49	0.0	0.0	4.63	5.09	0.0	4.68	1.81	0.36	0.0	1.21	0.0	0.0	10.67	0.0	0.27	0.0	0.0	3.21	0.31	0.0	1.78	0.0	3.94	0.0	19.82	ReDeconv
prevail_cu_cfrna_235	6.71	0.0	11.12	0.0	3.68	0.0	0.0	0.0	10.35	0.0	3.69	3.8	0.24	2.62	0.86	0.33	0.0	5.41	0.0	0.81	0.0	1.26	8.03	0.7	0.0	5.64	7.96	7.07	0.16	19.57	ReDeconv
prevail_cu_cfrna_269	1.34	0.68	7.69	0.0	5.16	0.0	9.42	3.0	0.34	0.0	2.06	0.0	0.0	0.37	6.15	0.42	0.67	10.42	0.0	2.74	0.05	0.9	1.42	4.45	0.0	4.01	21.82	12.27	1.59	3.03	ReDeconv
prevail_cu_cfrna_236	10.27	0.04	17.55	0.0	2.69	0.0	0.0	1.35	6.14	0.0	4.43	3.43	0.66	0.28	0.15	0.01	0.0	4.84	0.0	1.34	0.0	0.0	5.18	0.0	0.0	5.74	0.0	3.64	0.0	32.27	ReDeconv
